MODEL_ID,FEATURE_SEQ,SOURCE_COLUMN,ORIGINAL_VALUE,FEATURE_NAME,FEATURE_TYPE,COEFFICIENT,P_VALUE,IS_REFERENCE,PCS_DATE
20260918_235631,23,color,Purple,color=Purple,ONEHOT,244689.3902166594,0.20440359828265256,N,2026-09-18
20260918_235631,24,color,Red,color=Red,ONEHOT,119873.8123980017,4.85902099704963e-05,N,2026-09-18
20260918_235631,25,color,Silver Bronze,color=Silver Bronze,ONEHOT,-3648.5409981762755,0.8796694553962244,N,2026-09-18
20260918_235631,26,color,Yellow,color=Yellow,ONEHOT,551994.0787155097,7.716072746889455e-13,N,2026-09-18
20260918_235631,27,engine_size,,engine_size,NUMERIC,1056296.5042397336,0.0,N,2026-09-18
20260918_235631,28,fuel_type,Petrol,,ONEHOT,,,Y,2026-09-18
20260918_235631,29,fuel_type,Bi-fuel,fuel_type=Bi-fuel,ONEHOT,144770.37441573737,0.31392621236662416,N,2026-09-18
20260918_235631,30,fuel_type,Diesel,fuel_type=Diesel,ONEHOT,-65635.76249795884,0.0018397360958238487,N,2026-09-18
20260918_235631,31,fuel_type,Electric,fuel_type=Electric,ONEHOT,-298764.3888142239,3.712605458917788e-11,N,2026-09-18
20260918_235631,32,fuel_type,Hybrid,fuel_type=Hybrid,ONEHOT,69339.68904954707,0.0014233385062934433,N,2026-09-18
20260918_235631,33,fuel_type,__OTHER__,fuel_type=__OTHER__,ONEHOT,166603.13592380373,0.6433138049083784,N,2026-09-18
20260918_235631,34,mileage,,mileage,NUMERIC,-1.6077486089185753,1.0565437085389011e-70,N,2026-09-18
20260918_235631,35,model_year,,model_year,NUMERIC,68513.61325010077,0.0,N,2026-09-18
20260918_235631,36,number_of_seats,,number_of_seats,NUMERIC,-127645.66852762863,3.3238394222192576e-108,N,2026-09-18
20260918_235632,1,,,(Intercept),INTERCEPT,-132658876.46169461,0.0,N,2026-09-18
20260918_235632,2,body_type,Sedan,,ONEHOT,,,Y,2026-09-18
20260918_235632,3,body_type,Convertible,body_type=Convertible,ONEHOT,1147933.6435049868,9.564005663750804e-64,N,2026-09-18
20260918_235632,4,body_type,Coupe,body_type=Coupe,ONEHOT,1635329.2780675218,0.0,N,2026-09-18
20260918_235632,5,body_type,Hatchback,body_type=Hatchback,ONEHOT,70286.32846822115,0.001525933027985602,N,2026-09-18
20260918_235632,6,body_type,Pickup,body_type=Pickup,ONEHOT,-925191.6722726158,3.952934949250732e-236,N,2026-09-18
20260918_235632,7,body_type,SUV,body_type=SUV,ONEHOT,-119720.92750513488,4.516271373957849e-11,N,2026-09-18
20260918_235632,8,body_type,Truck,body_type=Truck,ONEHOT,-823168.9412985264,1.57173698439333e-11,N,2026-09-18
20260918_235632,9,body_type,Van,body_type=Van,ONEHOT,348929.58321674494,8.75174761889905e-19,N,2026-09-18
20260918_235632,10,body_type,Wagon,body_type=Wagon,ONEHOT,130284.59971589665,6.265403410993642e-05,N,2026-09-18
20260918_235632,11,engine_size,,engine_size,NUMERIC,1066972.9327826905,0.0,N,2026-09-18
20260918_235632,12,fuel_type,Petrol,,ONEHOT,,,Y,2026-09-18
20260918_235632,13,fuel_type,Bi-fuel,fuel_type=Bi-fuel,ONEHOT,117453.11743907824,0.41653362309612646,N,2026-09-18
20260918_235632,14,fuel_type,Diesel,fuel_type=Diesel,ONEHOT,-85741.16614155163,4.680793195809605e-05,N,2026-09-18
20260918_235632,15,fuel_type,Electric,fuel_type=Electric,ONEHOT,-212733.8481914353,2.199806745280116e-06,N,2026-09-18
20260918_235632,16,fuel_type,Hybrid,fuel_type=Hybrid,ONEHOT,67917.57874239309,0.0018420143076495802,N,2026-09-18
20260918_235632,17,fuel_type,__OTHER__,fuel_type=__OTHER__,ONEHOT,115803.74696274337,0.7488748401447447,N,2026-09-18
20260918_235632,18,mileage,,mileage,NUMERIC,-1.7261873006738777,8.7848825159936e-81,N,2026-09-18
20260918_235632,19,model_year,,model_year,NUMERIC,65519.177037633664,0.0,N,2026-09-18
20260918_235632,20,number_of_seats,,number_of_seats,NUMERIC,-125595.96514694957,1.2136025017279436e-104,N,2026-09-18
20260918_235633,1,,,(Intercept),INTERCEPT,-157858573.17847693,0.0,N,2026-09-18
20260918_235633,2,body_type,Sedan,,ONEHOT,,,Y,2026-09-18
20260918_235633,3,body_type,Convertible,body_type=Convertible,ONEHOT,1155985.339147728,1.0790072709959162e-64,N,2026-09-18
20260918_235633,4,body_type,Coupe,body_type=Coupe,ONEHOT,1651182.0616714829,0.0,N,2026-09-18
20260918_235633,5,body_type,Hatchback,body_type=Hatchback,ONEHOT,16878.433533973035,0.45525627529746504,N,2026-09-18
20260918_235633,6,body_type,Pickup,body_type=Pickup,ONEHOT,-942040.5935606714,5.272140227958859e-241,N,2026-09-18
20260918_235633,7,body_type,SUV,body_type=SUV,ONEHOT,-137844.57112733237,5.522668382030713e-14,N,2026-09-18
20260918_235633,8,body_type,Truck,body_type=Truck,ONEHOT,-769724.8329681092,2.909859919040491e-10,N,2026-09-18
20260918_235633,9,body_type,Van,body_type=Van,ONEHOT,372794.1947316541,4.0470806765728216e-21,N,2026-09-18
20260918_235633,10,body_type,Wagon,body_type=Wagon,ONEHOT,139495.57941978416,1.9212353724728197e-05,N,2026-09-18
20260918_235633,11,color,White,,ONEHOT,,,Y,2026-09-18
20260918_235633,12,color,Black,color=Black,ONEHOT,27806.03199386285,0.0990017344565557,N,2026-09-18
20260918_235633,13,color,Blue,color=Blue,ONEHOT,407416.13807502383,1.3584932939042258e-18,N,2026-09-18
20260918_235633,14,color,Brown,color=Brown,ONEHOT,30805.213836630708,0.48028714121140387,N,2026-09-18
20260918_235633,15,color,Cream,color=Cream,ONEHOT,733974.3130739974,1.5268702845043075e-07,N,2026-09-18
20260918_235633,16,color,Golden,color=Golden,ONEHOT,139052.1054476413,0.19530906678220236,N,2026-09-18
20260918_235633,17,color,Green,color=Green,ONEHOT,841159.4260449875,5.131408635454133e-30,N,2026-09-18
20260918_235633,18,color,Grey Bronze,color=Grey Bronze,ONEHOT,24348.57772434694,0.14804088807264187,N,2026-09-18
20260918_235633,19,color,Light blue,color=Light blue,ONEHOT,848977.2514974688,8.947837009654445e-37,N,2026-09-18
20260918_235633,20,color,Orange,color=Orange,ONEHOT,284469.7884324814,1.4711161731024187e-07,N,2026-09-18
20260918_235633,21,color,Other,color=Other,ONEHOT,293925.7253380811,0.00021267316248194484,N,2026-09-18
20260918_235633,22,color,Pink,color=Pink,ONEHOT,1019043.6750457082,4.606694253383882e-05,N,2026-09-18
20260918_235633,23,color,Purple,color=Purple,ONEHOT,232448.69280125375,0.23006786482171065,N,2026-09-18
20260918_235633,24,color,Red,color=Red,ONEHOT,131697.0743193629,8.836376310512588e-06,N,2026-09-18
20260918_235633,25,color,Silver Bronze,color=Silver Bronze,ONEHOT,-8190.856504428259,0.7351023137885602,N,2026-09-18
20260918_235633,26,color,Yellow,color=Yellow,ONEHOT,590736.1458413781,2.2215652589655988e-14,N,2026-09-18
20260918_235633,27,engine_size,,engine_size,NUMERIC,1064395.408248833,0.0,N,2026-09-18
20260918_235633,28,fuel_type,Petrol,,ONEHOT,,,Y,2026-09-18
20260918_235633,29,fuel_type,Bi-fuel,fuel_type=Bi-fuel,ONEHOT,60122.02402005914,0.6770084139911096,N,2026-09-18
20260918_235633,30,fuel_type,Diesel,fuel_type=Diesel,ONEHOT,-78537.86483052027,0.00020520365054353486,N,2026-09-18
20260918_235633,31,fuel_type,Electric,fuel_type=Electric,ONEHOT,-268052.96616839065,3.3591731826249954e-09,N,2026-09-18
20260918_235633,32,fuel_type,Hybrid,fuel_type=Hybrid,ONEHOT,77444.58089804364,0.00038910869134127133,N,2026-09-18
20260918_235633,33,fuel_type,__OTHER__,fuel_type=__OTHER__,ONEHOT,211498.5929098611,0.5584019913360793,N,2026-09-18
20260918_235633,34,model_year,,model_year,NUMERIC,77917.16710520501,0.0,N,2026-09-18
20260918_235633,35,number_of_seats,,number_of_seats,NUMERIC,-132612.47669707672,8.238298076945352e-116,N,2026-09-18
